What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
narre warren,3805.0,springfield,39-48,Male
cranbourne east,3977.0,mayfield,19-28,Female
cranbourne west,3977.0,mayfield,29-38,Female
narre warren north,3804.0,four oaks,68+,Female
devon meadows ,3977.0,balla balla,39-48,Male
narre warren,3805.0,springfield,39-48,Male
officer,3809.0,visitor,29-38,Female
narre warren south,3804.0,springfield,39-48,Male
endeavour hills,3802.0,four oaks,59-68,Male
endeavour hills,3802.0,four oaks,49-58,Female
berwick,3806.0,edrington,49-58,Female
narre warren south,3804.0,springfield,49-58,Female
narre warren,3805.0,springfield,49-58,Male
lynbrook,3975.0,river gum,68+,Female
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,49-58,Female
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne ,3977.0,balla balla,19-28,Female
hampton park,3976.0,river gum,29-38,Female
hampton park,3976.0,river gum,0-18,Male
hampton park,3976.0,river gum,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Female
narre warren,3805.0,springfield,0-18,Male
hampton park,3976.0,river gum,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
hampton park,3976.0,river gum,19-28,Female
hampton park,3976.0,river gum,29-38,Female
narre warren,3805.0,springfield,0-18,Female
narre warren,3805.0,springfield,0-18,Male
narre warren,3805.0,springfield,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne east,3977.0,mayfield,0-18,Male
berwick,3806.0,edrington,0-18,Female
hampton park,3976.0,river gum,0-18,Female
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne east,3977.0,mayfield,29-38,Male
narre warren,3805.0,springfield,39-48,Male
cranbourne east,3977.0,mayfield,29-38,Male
cranbourne east,3977.0,mayfield,29-38,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,39-48,Female
hampton park,3976.0,river gum,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne ,3977.0,balla balla,19-28,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne east,3977.0,mayfield,19-28,Female
cranbourne ,3977.0,balla balla,19-28,Female
narre warren south,3804.0,springfield,0-18,Male
narre warren south,3804.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,29-38,Male
cranbourne ,3977.0,balla balla,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,59-68,Female
narre warren,3805.0,springfield,19-28,Female
cranbourne south ,3977.0,balla balla,19-28,Female
cranbourne west,3977.0,mayfield,0-18,Male
endeavour hills,3802.0,four oaks,68+,Female
narre warren south,3804.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
berwick,3806.0,edrington,39-48,Female
cranbourne ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,59-68,Male
cranbourne east,3977.0,mayfield,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Female
cranbourne ,3977.0,balla balla,29-38,Male
cranbourne ,3977.0,balla balla,0-18,Male
devon meadows ,3977.0,balla balla,59-68,Female
berwick,3806.0,edrington,39-48,Male
lynbrook,3975.0,river gum,39-48,Male
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,49-58,Male
berwick,3806.0,edrington,0-18,Male
berwick,3806.0,edrington,0-18,Male
cranbourne ,3977.0,balla balla,39-48,Female
narre warren north,3804.0,four oaks,39-48,Female
berwick,3806.0,edrington,29-38,Female
narre warren,3805.0,springfield,49-58,Male
narre warren south,3804.0,springfield,39-48,Male
narre warren south,3804.0,springfield,49-58,Male
berwick,3806.0,edrington,19-28,Female
berwick,3806.0,edrington,29-38,Female
narre warren,3805.0,springfield,19-28,Female
narre warren,3805.0,springfield,29-38,Male
lyndhurst,3975.0,mayfield,49-58,Male
hampton park,3976.0,river gum,19-28,Male
endeavour hills,3802.0,four oaks,49-58,Female
berwick,3806.0,edrington,59-68,Male
berwick,3806.0,edrington,39-48,Male
narre warren south,3804.0,springfield,68+,Female
narre warren south,3804.0,springfield,68+,Male
narre warren,3805.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
hallam,3803.0,river gum,49-58,Male
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Male
narre warren,3805.0,springfield,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
narre warren north,3804.0,four oaks,39-48,Male
narre warren,3805.0,springfield,29-38,Female
narre warren,3805.0,springfield,49-58,Male
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,29-38,Male
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Male
narre warren,3805.0,springfield,0-18,Male
berwick,3806.0,edrington,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
narre warren south,3804.0,springfield,0-18,Female
berwick,3806.0,edrington,0-18,Female
narre warren north,3804.0,four oaks,0-18,Male
narre warren south,3804.0,springfield,0-18,Female
narre warren north,3804.0,four oaks,0-18,Male
lynbrook,3975.0,river gum,39-48,Male
officer,3809.0,visitor,29-38,Female
lynbrook,3975.0,river gum,0-18,Male
berwick,3806.0,edrington,39-48,Female
hampton park,3976.0,river gum,19-28,Female
lynbrook,3975.0,river gum,39-48,Female
narre warren,3805.0,springfield,19-28,Female
hampton park,3976.0,river gum,29-38,Male
hampton park,3976.0,river gum,39-48,Male
cranbourne west,3977.0,mayfield,0-18,Male
berwick,3806.0,edrington,59-68,Male
narre warren,3805.0,springfield,29-38,Male
hampton park,3976.0,river gum,19-28,Male
lynbrook,3975.0,river gum,29-38,Female
doveton ,3177.0,river gum,19-28,Female
endeavour hills,3802.0,four oaks,49-58,Male
cranbourne ,3977.0,balla balla,59-68,Female
berwick,3806.0,edrington,39-48,Female
lynbrook,3975.0,river gum,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Male
hallam,3803.0,river gum,59-68,Male
berwick,3806.0,edrington,39-48,Male
endeavour hills,3802.0,four oaks,39-48,Male
berwick,3806.0,edrington,49-58,Female
narre warren,3805.0,springfield,19-28,Female
berwick,3806.0,edrington,29-38,Female
lynbrook,3975.0,river gum,49-58,Male
endeavour hills,3802.0,four oaks,39-48,Male
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,29-38,Male
narre warren south,3804.0,springfield,39-48,Female
pearcedale,3912.0,balla balla,49-58,Female
cranbourne west,3977.0,mayfield,39-48,Female
cranbourne ,3977.0,balla balla,59-68,Female
cranbourne east,3977.0,mayfield,29-38,Male
clyde,3978.0,balla balla,59-68,Female
berwick,3806.0,edrington,68+,Male
narre warren south,3804.0,springfield,39-48,Female
narre warren south,3804.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,39-48,Male
narre warren,3805.0,springfield,39-48,Female
narre warren,3805.0,springfield,39-48,Male
hampton park,3976.0,river gum,49-58,Prefer not to say
hallam,3803.0,river gum,29-38,Female
narre warren,3805.0,springfield,49-58,Female
cranbourne ,3977.0,balla balla,49-58,Male
berwick,3806.0,edrington,29-38,Female
hampton park,3976.0,river gum,29-38,Female
narre warren,3805.0,springfield,19-28,Male
berwick,3806.0,edrington,68+,Female
cranbourne east,3977.0,mayfield,29-38,Female
berwick,3806.0,edrington,29-38,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne east,3977.0,mayfield,68+,Female
devon meadows ,3977.0,balla balla,59-68,Female
endeavour hills,3802.0,four oaks,59-68,Male
narre warren,3805.0,springfield,39-48,Female
narre warren,3805.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Male
narre warren south,3804.0,springfield,39-48,Female
pearcedale,3912.0,balla balla,19-28,Female
botanic ridge,3977.0,balla balla,39-48,Male
narre warren,3805.0,springfield,49-58,Male
cranbourne ,3977.0,balla balla,0-18,Female
narre warren,3805.0,springfield,39-48,Female
lyndhurst,3975.0,mayfield,49-58,Male
cranbourne ,3977.0,balla balla,29-38,Male
cranbourne ,3977.0,balla balla,19-28,Female
narre warren south,3804.0,springfield,29-38,Female
narre warren south,3804.0,springfield,39-48,Male
lyndhurst,3975.0,mayfield,39-48,Female
hampton park,3976.0,river gum,0-18,Male
berwick,3806.0,edrington,49-58,Male
berwick,3806.0,edrington,29-38,Male
beaconsfield,3807.0,edrington,39-48,Male
endeavour hills,3802.0,four oaks,59-68,Female
lynbrook,3975.0,river gum,29-38,Male
narre warren,3805.0,springfield,29-38,Female
cranbourne west,3977.0,mayfield,29-38,Male
cranbourne west,3977.0,mayfield,29-38,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne ,3977.0,balla balla,49-58,Female
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne south ,3977.0,balla balla,68+,Male
tooradin,3980.0,balla balla ,49-58,Female
narre warren south,3804.0,springfield,19-28,Female
berwick,3806.0,edrington,0-18,Female
devon meadows ,3977.0,balla balla,39-48,Female
berwick,3806.0,edrington,29-38,Male
lysterfield south,3156.0,four oaks,49-58,Male
narre warren,3805.0,springfield,39-48,Male
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne ,3977.0,balla balla,19-28,Male
beaconsfield,3807.0,edrington,19-28,Female
narre warren,3805.0,springfield,39-48,Female
endeavour hills,3802.0,four oaks,59-68,Female
lynbrook,3975.0,river gum,39-48,Male
clyde,3978.0,balla balla,29-38,Male
lyndhurst,3975.0,mayfield,39-48,Female
cranbourne ,3977.0,balla balla,59-68,Male
cranbourne west,3977.0,mayfield,49-58,Male
berwick,3806.0,edrington,29-38,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,39-48,Female
cranbourne ,3977.0,balla balla,19-28,Female
lynbrook,3975.0,river gum,39-48,Male
narre warren,3805.0,springfield,59-68,Female
narre warren north,3804.0,four oaks,49-58,Male
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,39-48,Female
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Male
endeavour hills,3802.0,four oaks,29-38,Male
narre warren,3805.0,springfield,29-38,Female
berwick,3806.0,edrington,29-38,Male
cranbourne ,3977.0,balla balla,29-38,Female
narre warren south,3804.0,springfield,39-48,Male
hampton park,3976.0,river gum,19-28,Female
narre warren north,3804.0,four oaks,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne west,3977.0,mayfield,29-38,Male
pearcedale,3912.0,balla balla,59-68,Male
lyndhurst,3975.0,mayfield,29-38,Male
lyndhurst,3975.0,mayfield,19-28,Female
hampton park,3976.0,river gum,39-48,Female
hampton park,3976.0,river gum,39-48,Female
berwick,3806.0,edrington,0-18,Male
doveton ,3177.0,river gum,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
botanic ridge,3977.0,balla balla,29-38,Male
cranbourne east,3977.0,mayfield,39-48,Male
cranbourne east,3977.0,mayfield,29-38,Male
berwick,3806.0,edrington,68+,Male
cranbourne ,3977.0,balla balla,59-68,Female
berwick,3806.0,edrington,59-68,Female
narre warren south,3804.0,springfield,39-48,Female
berwick,3806.0,edrington,49-58,Male
berwick,3806.0,edrington,29-38,Male
berwick,3806.0,edrington,19-28,Female
berwick,3806.0,edrington,29-38,Male
narre warren,3805.0,springfield,49-58,Female
berwick,3806.0,edrington,29-38,Female
berwick,3806.0,edrington,29-38,Female
berwick,3806.0,edrington,68+,Female
berwick,3806.0,edrington,49-58,Female
narre warren south,3804.0,springfield,39-48,Male
narre warren,3805.0,springfield,49-58,Male
berwick,3806.0,edrington,19-28,Female
officer,3809.0,visitor,29-38,Female
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,59-68,Female
narre warren,3805.0,springfield,29-38,Male
berwick,3806.0,edrington,19-28,Male
narre warren,3805.0,springfield,59-68,Male
narre warren,3805.0,springfield,19-28,Female
narre warren,3805.0,springfield,49-58,Female
hampton park,3976.0,river gum,39-48,Female
hampton park,3976.0,river gum,29-38,Male
hampton park,3976.0,river gum,29-38,Female
berwick,3806.0,edrington,0-18,Female
berwick,3806.0,edrington,39-48,Female
berwick,3806.0,edrington,39-48,Male
narre warren south,3804.0,springfield,39-48,Female
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,49-58,Female
narre warren south,3804.0,springfield,39-48,Female
cranbourne east,3977.0,mayfield,29-38,Male
narre warren north,3804.0,four oaks,19-28,Female
berwick,3806.0,edrington,29-38,Male
narre warren,3805.0,springfield,0-18,Male
narre warren,3805.0,springfield,49-58,Male
berwick,3806.0,edrington,29-38,Female
berwick,3806.0,edrington,39-48,Female
cranbourne west,3977.0,mayfield,49-58,Male
cranbourne south ,3977.0,balla balla,29-38,Female
lyndhurst,3975.0,mayfield,29-38,Female
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,29-38,Female
berwick,3806.0,edrington,39-48,Male
berwick,3806.0,edrington,59-68,Female
narre warren south,3804.0,springfield,0-18,Male
berwick,3806.0,edrington,0-18,Female
berwick,3806.0,edrington,29-38,Male
narre warren south,3804.0,springfield,29-38,Male
berwick,3806.0,edrington,0-18,Female
berwick,3806.0,edrington,68+,Male
botanic ridge,3977.0,balla balla,0-18,Female
botanic ridge,3977.0,balla balla,0-18,Female
botanic ridge,3977.0,balla balla,39-48,Male
berwick,3806.0,edrington,49-58,Male
berwick,3806.0,edrington,39-48,Female
berwick,3806.0,edrington,59-68,Female
berwick,3806.0,edrington,29-38,Female
berwick,3806.0,edrington,29-38,Male
beaconsfield,3807.0,edrington,68+,Male
hallam,3803.0,river gum,29-38,Male
hampton park,3976.0,river gum,19-28,Female
narre warren,3805.0,springfield,59-68,Female
narre warren north,3804.0,four oaks,29-38,Female
narre warren north,3804.0,four oaks,39-48,Male
lynbrook,3975.0,river gum,29-38,Male
berwick,3806.0,edrington,49-58,Female
narre warren,3805.0,springfield,19-28,Male
berwick,3806.0,edrington,39-48,Male
berwick,3806.0,edrington,29-38,Male
cranbourne ,3977.0,balla balla,49-58,Male
hallam,3803.0,river gum,29-38,Male
hallam,3803.0,river gum,39-48,Male
lynbrook,3975.0,river gum,0-18,Female
lynbrook,3975.0,river gum,0-18,Female
berwick,3806.0,edrington,29-38,Male
cranbourne east,3977.0,mayfield,29-38,Female
officer,3809.0,visitor,19-28,Female
berwick,3806.0,edrington,49-58,Female
clyde,3978.0,balla balla,29-38,Female
berwick,3806.0,edrington,68+,Female
narre warren south,3804.0,springfield,29-38,Female
hallam,3803.0,river gum,49-58,Male
hallam,3803.0,river gum,0-18,Female
hallam,3803.0,river gum,0-18,Female
berwick,3806.0,edrington,0-18,Female
berwick,3806.0,edrington,39-48,Male
berwick,3806.0,edrington,0-18,Female
berwick,3806.0,edrington,39-48,Female
berwick,3806.0,edrington,59-68,Female
narre warren,3805.0,springfield,0-18,Male
hampton park,3976.0,river gum,0-18,Male
narre warren south,3804.0,springfield,39-48,Male
doveton ,3177.0,river gum,39-48,Female
berwick,3806.0,edrington,39-48,Male
cranbourne ,3977.0,balla balla,19-28,Female
cranbourne ,3977.0,balla balla,19-28,Male
cranbourne west,3977.0,mayfield,29-38,Female
cranbourne ,3977.0,balla balla,19-28,Female
cranbourne ,3977.0,balla balla,39-48,Male
berwick,3806.0,edrington,19-28,Male
hampton park,3976.0,river gum,0-18,Female
cranbourne west,3977.0,mayfield,39-48,Male
beaconsfield,3807.0,edrington,39-48,Female
beaconsfield,3807.0,edrington,0-18,Male
beaconsfield,3807.0,edrington,0-18,Male
berwick,3806.0,edrington,49-58,Female
cannons creek,3977.0,balla balla,29-38,Male
lyndhurst,3975.0,mayfield,39-48,Female
beaconsfield,3807.0,edrington,49-58,Female
narre warren south,3804.0,springfield,29-38,Male
lyndhurst,3975.0,mayfield,29-38,Female
berwick,3806.0,edrington,29-38,Female
narre warren north,3804.0,four oaks,29-38,Female
devon meadows ,3977.0,balla balla,59-68,Female
berwick,3806.0,edrington,39-48,Male
lynbrook,3975.0,river gum,29-38,Male
narre warren north,3804.0,four oaks,19-28,Female
cranbourne ,3977.0,balla balla,29-38,Female
narre warren,3805.0,springfield,39-48,Female
cranbourne west,3977.0,mayfield,39-48,Female
cranbourne east,3977.0,mayfield,29-38,Female
lynbrook,3975.0,river gum,49-58,Male
endeavour hills,3802.0,four oaks,39-48,Male
narre warren south,3804.0,springfield,49-58,Female
endeavour hills,3802.0,four oaks,39-48,Female
lyndhurst,3975.0,mayfield,39-48,Female
hampton park,3976.0,river gum,49-58,Female
lyndhurst,3975.0,mayfield,29-38,Female
hampton park,3976.0,river gum,68+,Male
berwick,3806.0,edrington,49-58,Male
cranbourne ,3977.0,balla balla,68+,Female
cranbourne ,3977.0,balla balla,49-58,Male
narre warren south,3804.0,springfield,49-58,Female
botanic ridge,3977.0,balla balla,29-38,Female
berwick,3806.0,edrington,68+,Female
botanic ridge,3977.0,balla balla,29-38,Female
endeavour hills,3802.0,four oaks,29-38,Male
junction village,3977.0,balla balla,49-58,Female
doveton ,3177.0,river gum,29-38,Female
lyndhurst,3975.0,mayfield,29-38,Female
berwick,3806.0,edrington,39-48,Male
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,49-58,Female
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Male
cranbourne east,3977.0,mayfield,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
beaconsfield,3807.0,edrington,39-48,Female
cranbourne east,3977.0,mayfield,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Female
cranbourne ,3977.0,balla balla,59-68,Female
narre warren south,3804.0,springfield,39-48,Female
Loganholme,4219.0,visitor,68+,Male
narre warren,3805.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,39-48,Female
cranbourne east,3977.0,mayfield,19-28,Female
cranbourne ,3977.0,balla balla,59-68,Female
cranbourne east,3977.0,mayfield,39-48,Female
cranbourne ,3977.0,balla balla,59-68,Female
cranbourne east,3977.0,mayfield,29-38,Female
narre warren south,3804.0,springfield,68+,Male
endeavour hills,3802.0,four oaks,0-18,Male
endeavour hills,3802.0,four oaks,0-18,Male
berwick,3806.0,edrington,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
berwick,3806.0,edrington,0-18,Male
narre warren,3805.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
berwick,3806.0,edrington,19-28,Male
narre warren,3805.0,springfield,0-18,Male
berwick,3806.0,edrington,19-28,Male
cranbourne ,3977.0,balla balla,39-48,Female
berwick,3806.0,edrington,0-18,Male
beaconsfield,3807.0,edrington,0-18,Male
narre warren,3805.0,springfield,0-18,Male
endeavour hills,3802.0,four oaks,49-58,Female
cranbourne south ,3977.0,balla balla,49-58,Female
cranbourne west,3977.0,mayfield,49-58,Male
narre warren south,3804.0,springfield,39-48,Female
narre warren south,3804.0,springfield,39-48,Female
hampton park,3976.0,river gum,19-28,Female
cranbourne ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,49-58,Male
hampton park,3976.0,river gum,49-58,Female
cranbourne south ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,49-58,Female
hampton park,3976.0,river gum,49-58,Female
narre warren,3805.0,springfield,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
narre warren south,3804.0,springfield,49-58,Male
cranbourne east,3977.0,mayfield,29-38,Male
hampton park,3976.0,river gum,59-68,Male
narre warren south,3804.0,springfield,0-18,Male
clyde,3978.0,balla balla,29-38,Male
cranbourne west,3977.0,mayfield,29-38,Female
narre warren south,3804.0,springfield,0-18,Male
berwick,3806.0,edrington,39-48,Male
hampton park,3976.0,river gum,0-18,Male
cranbourne ,3977.0,balla balla,49-58,Female
cranbourne ,3977.0,balla balla,68+,Male
hampton park,3976.0,river gum,59-68,Male
cranbourne ,3977.0,balla balla,59-68,Male
narre warren south,3804.0,springfield,49-58,Male
cranbourne ,3977.0,balla balla,59-68,Female
narre warren,3805.0,springfield,39-48,Male
berwick,3806.0,edrington,68+,Female
cranbourne west,3977.0,mayfield,39-48,Male
cranbourne west,3977.0,mayfield,39-48,Male
cranbourne west,3977.0,mayfield,19-28,Female
cranbourne east,3977.0,mayfield,19-28,Male
tooradin,3980.0,balla balla ,29-38,Male
warneet,3980.0,balla balla ,59-68,Female
cranbourne ,3977.0,balla balla,39-48,Female
cranbourne west,3977.0,mayfield,49-58,Female
cranbourne ,3977.0,balla balla,19-28,Female
officer,3809.0,visitor,59-68,Male
cranbourne east,3977.0,mayfield,49-58,Female
cranbourne east,3977.0,mayfield,39-48,Male
cranbourne ,3977.0,balla balla,68+,Male
cranbourne ,3977.0,balla balla,68+,Male
blind bight,3980.0,balla balla,39-48,Female
cranbourne ,3977.0,balla balla,49-58,Male
blind bight,3980.0,balla balla,68+,Male
hallam,3803.0,river gum,59-68,Female
cranbourne west,3977.0,mayfield,39-48,Male
cranbourne ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,39-48,Female
narre warren north,3804.0,four oaks,39-48,Male
cranbourne ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Female
tooradin,3980.0,balla balla ,59-68,Male
tooradin,3980.0,balla balla ,19-28,Male
devon meadows ,3977.0,balla balla,49-58,Male
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,49-58,Male
cranbourne ,3977.0,balla balla,19-28,Female
narre warren,3805.0,springfield,29-38,Female
hampton park,3976.0,river gum,59-68,Female
narre warren,3805.0,springfield,29-38,Male
officer,3809.0,visitor,68+,Male
narre warren,3805.0,springfield,39-48,Female
narre warren,3805.0,springfield,39-48,Male
endeavour hills,3802.0,four oaks,49-58,Male
endeavour hills,3802.0,four oaks,19-28,male
cranbourne ,3977.0,balla balla,29-38,Male
cranbourne ,3977.0,balla balla,29-38 ,Female
berwick,3806.0,edrington,29-38,Male
berwick,3806.0,edrington,39-48,Male
doveton ,3177.0,river gum,19-28,Male
doveton ,3177.0,river gum,19-28,Male
cranbourne east,3977.0,mayfield,29-38,Male
narre warren,3805.0,springfield,0-18,Female
hallam,3803.0,river gum,39-48,Female
narre warren,3805.0,springfield,49-58,Female
cranbourne ,3977.0,balla balla,19-28,Female
cranbourne ,3977.0,balla balla,19-28,Male
pearcedale,3912.0,balla balla,39-48,Female
cranbourne ,3977.0,balla balla,49-58,Female
hallam,3803.0,river gum,39-48,Female
lynbrook,3975.0,river gum,49-58,Female
berwick,3806.0,edrington,59-68,Female
narre warren,3805.0,springfield,39-48,Female
lynbrook,3975.0,river gum,29-38,Female
narre warren,3805.0,springfield,39-48,Female
narre warren,3805.0,springfield,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne east,3977.0,mayfield,0-18,Female
berwick,3806.0,edrington,49-58,Female
cranbourne east,3977.0,mayfield,68+,Female
cranbourne ,3977.0,balla balla,49-58,male
berwick,3806.0,edrington,68+,Male
beaconsfield,3807.0,edrington,49-58,Female
berwick,3806.0,edrington,39-48,Female
narre warren south,3804.0,springfield,19-28,Female
berwick,3806.0,edrington,19-28,Male
berwick,3806.0,edrington,19-28,Male
berwick,3806.0,edrington,49-58,Female
berwick,3806.0,edrington,19-28,Male
cranbourne east,3977.0,mayfield,19-28,Female
berwick,3806.0,edrington,29-38,Male
berwick,3806.0,edrington,29-38,Female
narre warren,3805.0,springfield,0-18,Female
cranbourne east,3977.0,mayfield,39-48,Female
beaconsfield,3807.0,edrington,29-38,Female
narre warren,3805.0,springfield,29-38,Male
narre warren south,3804.0,springfield,59-68,Female
berwick,3806.0,edrington,19-28,Female
endeavour hills,3802.0,four oaks,39-48,Male
endeavour hills,3802.0,four oaks,0-18,Male
cranbourne east,3977.0,mayfield,29-38,Female
berwick,3806.0,edrington,68+ ,Male
clyde,3978.0,balla balla,59-68,Female
narre warren north,3804.0,four oaks,39-48,Male
cranbourne ,3977.0,balla balla,39-48,Male
cranbourne ,3977.0,balla balla,39-48,Male
cranbourne ,3977.0,balla balla,68+,Female
cranbourne ,3977.0,balla balla,59-68,Male
narre warren south,3804.0,springfield,49-58,Female
narre warren south,3804.0,springfield,49-58,Male
narre warren south,3804.0,springfield,39-48,Female
narre warren south,3804.0,springfield,39-48,Male
narre warren north,3804.0,four oaks,39-48,Male
beaconsfield,3807.0,edrington,39-48,Male
pearcedale,3912.0,balla balla,59-68,Male
pearcedale,3912.0,balla balla,39-48,male
hampton park,3976.0,river gum,29-38,Female
hampton park,3976.0,river gum,39-48,Male
lyndhurst,3975.0,mayfield,29-38,Female
berwick,3806.0,edrington,29-38,Male
lyndhurst,3975.0,mayfield,39-48,Female
narre warren,3805.0,springfield,68+,Female
beaconsfield,3807.0,edrington,39-48,Female
pearcedale,3912.0,balla balla,29-38,male
narre warren,3805.0,springfield,29-38,Female
hampton park,3976.0,river gum,59-68,Female
clyde,3978.0,balla balla,29-38,Male
