What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,68+,male
beaconsfield,3807.0,edrington,29-38,Unk
berwick,3806.0,edrington,68+,male
berwick,3806.0,edrington,19-28,female
narre warren,3805.0,springfield,39-48,female
narre warren,3805.0,springfield,0-18,male
doveton ,3177.0,river gum,49-58,Unknown
berwick,3806.0,edrington,39-48,female
endeavour hills,3802.0,four oaks,29-38,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,39-48,male
hallam,3803.0,river gum,39-48,male
hallam,3803.0,river gum,0-18,female
narre warren south,3804.0,springfield,39-48,female
endeavour hills,3802.0,four oaks,59-68,male
endeavour hills,3802.0,four oaks,19-28,female
narre warren south,3804.0,springfield,0-18,female
endeavour hills,3802.0,four oaks,49-58,male
narre warren,3805.0,springfield,39-48,female
hampton park,3976.0,river gum,29-38,Unknown
endeavour hills,3802.0,four oaks,49-58,female
hampton park,3976.0,river gum,29-38,female
cranbourne ,3977.0,balla balla,0-18,male
hampton park,3976.0,river gum,49-58,female
hampton park,3976.0,river gum,49-58,male
hampton park,3976.0,river gum,0-18,female
hampton park,3976.0,river gum,39-48,male
cranbourne ,3977.0,balla balla,39-48,male
hampton park,3976.0,river gum,19-28,female
narre warren,3805.0,springfield,19-28,female
narre warren,3805.0,springfield,39-48,male
hampton park,3976.0,river gum,39-48,female
narre warren south,3804.0,springfield,39-48,female
narre warren south,3804.0,springfield,0-18,female
narre warren south,3804.0,springfield,39-48,female
cranbourne ,3977.0,balla balla,29-38,female
narre warren,3805.0,springfield,29-38,female
hampton park,3976.0,river gum,39-48,female
hampton park,3976.0,river gum,39-48,male
hallam,3803.0,river gum,49-58,male
hampton park,3976.0,river gum,29-38,Unknown
cranbourne east,3977.0,mayfield,39-48,female
narre warren south,3804.0,springfield,39-48,male
berwick,3806.0,edrington,29-38,female
officer,3809.0,visitor,49-58,female
berwick,3806.0,edrington,49-58,female
berwick,3806.0,edrington,49-58,female
pearcedale,3912.0,balla balla,39-48,female
beaconsfield,3807.0,edrington,49-58,female
berwick,3806.0,edrington,Unknown,female
beaconsfield,3807.0,edrington,49-58,female
berwick,3806.0,edrington,Unknown,Unknown
berwick,3806.0,edrington,Unknown,Unknown
narre warren north,3804.0,four oaks,29-38,male
endeavour hills,3802.0,four oaks,39-48,male
berwick,3806.0,edrington,29-38,female
cranbourne ,3977.0,balla balla,29-38,female
berwick,3806.0,edrington,29-38,female
endeavour hills,3802.0,four oaks,19-28,female
endeavour hills,3802.0,four oaks,49-58,female
clyde,3978.0,balla balla,19-28,female
lyndhurst,3975.0,mayfield,68+,female
berwick,3806.0,edrington,29-38,female
doveton ,3177.0,river gum,68+,female
endeavour hills,3802.0,four oaks,59-68,male
narre warren south,3804.0,springfield,68+,male
berwick,3806.0,edrington,49-58,male
berwick,3806.0,edrington,39-48,female
narre warren,3805.0,springfield,29-38,male
eumemmerring,3177.0,river gum,68+,female
devon meadows ,3977.0,balla balla,19-28,female
berwick,3806.0,edrington,68+,male
hampton park,3976.0,river gum,0-18,female
narre warren south,3804.0,springfield,39-48,Unknown
narre warren,3805.0,springfield,59-68,female
narre warren,3805.0,springfield,68+,female
narre warren,3805.0,springfield,59-68,male
cranbourne west,3977.0,mayfield,29-38,female
berwick,3806.0,edrington,0-18,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,49-58,female
berwick,3806.0,edrington,19-28,female
berwick,3806.0,edrington,19-28,female
endeavour hills,3802.0,four oaks,68+,male
lyndhurst,3975.0,mayfield,68+,male
narre warren,3805.0,springfield,68+,male
narre warren south,3804.0,springfield,68+,female
narre warren south,3804.0,springfield,19-28,female
endeavour hills,3802.0,four oaks,29-38,male
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,39-48,male
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,29-38,male
narre warren,3805.0,springfield,29-38,male
narre warren,3805.0,springfield,59-68,Unknown
endeavour hills,3802.0,four oaks,59-68,male
endeavour hills,3802.0,four oaks,59-68,female
endeavour hills,3802.0,four oaks,29-38,female
berwick,3806.0,edrington,49-58,male
endeavour hills,3802.0,four oaks,49-58,female
endeavour hills,3802.0,four oaks,49-58,male
endeavour hills,3802.0,four oaks,49-58,female
endeavour hills,3802.0,four oaks,39-48,male
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,59-68,female
endeavour hills,3802.0,four oaks,59-68,female
endeavour hills,3802.0,four oaks,39-48,male
endeavour hills,3802.0,four oaks,19-28,female
narre warren,3805.0,springfield,49-58,female
narre warren,3805.0,springfield,49-58,male
narre warren south,3804.0,springfield,29-38,female
endeavour hills,3802.0,four oaks,59-68,female
narre warren north,3804.0,four oaks,49-58,female
hampton park,3976.0,river gum,29-38,female
hampton park,3976.0,river gum,29-38,male
hampton park,3976.0,river gum,29-38,male
endeavour hills,3802.0,four oaks,49-58,male
lynbrook,3975.0,river gum,68+,male
hampton park,3976.0,river gum,68+,female
endeavour hills,3802.0,four oaks,49-68,male
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,59-68,female
cranbourne ,3977.0,balla balla,29-38,female
lynbrook,3975.0,river gum,49-58,female
lynbrook,3975.0,river gum,59-68,female
cranbourne east,3977.0,mayfield,29-38,female
narre warren south,3804.0,springfield,29-38,male
cranbourne ,3977.0,balla balla,39-48,female
tooradin,3980.0,balla balla ,0-18,male
cranbourne ,3977.0,balla balla,19-28,Unknown
cranbourne ,3977.0,balla balla,29-38,female
cranbourne east,3977.0,mayfield,59-68,female
cranbourne west,3977.0,mayfield,39-48,male
cranbourne ,3977.0,balla balla,29-38,female
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,29-38,male
devon meadows ,3977.0,balla balla,19-28,female
berwick,3806.0,edrington,49-58,male
berwick,3806.0,edrington,68+,female
berwick,3806.0,edrington,49-58,female
berwick,3806.0,edrington,68+,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,29-38,female
hampton park,3976.0,river gum,29-38,female
cranbourne west,3977.0,mayfield,49-58,female
narre warren,3805.0,springfield,49-58,male
cranbourne west,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,Unknown,Unknown
cranbourne east,3977.0,mayfield,68+,female
lyndhurst,3975.0,mayfield,29-38,male
clyde,3978.0,balla balla,19-28,male
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,49-58,female
cranbourne ,3977.0,balla balla,49-58,female
cranbourne east,3977.0,mayfield,39-48,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne east,3977.0,mayfield,39-48,male
lyndhurst,3975.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,59-68,male
lyndhurst,3975.0,mayfield,29-38,female
lyndhurst,3975.0,mayfield,19-28,Unkown
lyndhurst,3975.0,mayfield,29-38,female
eumemmerring,3177.0,river gum,39-48,female
lynbrook,3975.0,river gum,29-38,female
endeavour hills,3802.0,four oaks,19-28,female
narre warren,3805.0,springfield,39-48,female
narre warren,3805.0,springfield,29-38,female
berwick,3806.0,edrington,49-58,female
cranbourne ,3977.0,balla balla,0-18,female
narre warren,3805.0,springfield,59-68,female
doveton ,3177.0,river gum,59-68,male
hampton park,3976.0,river gum,49-58,female
cranbourne ,3977.0,balla balla,Unknown,Unknown
cranbourne ,3977.0,balla balla,0-18,male
botanic ridge,3977.0,balla balla,0-18,female
tooradin,3980.0,balla balla ,19-28,female
narre warren,3805.0,springfield,19-28,female
tooradin,3980.0,balla balla ,0-18,Prefer not to say
tooradin,3980.0,balla balla ,0-18,Prefer not to say
lynbrook,3975.0,river gum,39-48,female
lynbrook,3975.0,river gum,29-38,female
lynbrook,3975.0,river gum,39-48,female
doveton ,3177.0,river gum,29-38,female
narre warren south,3804.0,springfield,49-58,male
cranbourne south ,3977.0,balla balla,29-38,female
cranbourne ,3977.0,balla balla,19-28,male
berwick,3806.0,edrington,0-18,Prefer not to say
narre warren north,3804.0,four oaks,Unknown,female
narre warren south,3804.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,male
narre warren,3805.0,springfield,0-18,male
narre warren south,3804.0,springfield,0-18,male
berwick,3806.0,edrington,0-18,male
narre warren north,3804.0,four oaks,19-28,female
berwick,3806.0,edrington,0-18,female
narre warren,3805.0,springfield,0-18,Unknown
cranbourne west,3977.0,mayfield,0-18,female
narre warren north,3804.0,four oaks,19-28,female
narre warren south,3804.0,springfield,0-18,male
officer,3809.0,visitor,0-18,female
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,female
berwick,3806.0,edrington,39-48,male
cranbourne ,3977.0,balla balla,0-18,female
berwick,3806.0,edrington,0-18,female
narre warren,3805.0,springfield,0-18,male
narre warren,3805.0,springfield,0-18,male
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,0-18,female
narre warren,3805.0,springfield,59-68,male
narre warren,3805.0,springfield,59-68,female
narre warren,3805.0,springfield,59-68,male
narre warren,3805.0,springfield,0-18,female
cranbourne east,3977.0,mayfield,0-18,female
berwick,3806.0,edrington,59-68,Prefer not to say
berwick,3806.0,edrington,49-58,female
narre warren,3805.0,springfield,39-48,female
doveton ,3177.0,river gum,0-18,female
hallam,3803.0,river gum,68+,female
narre warren,3805.0,springfield,39-48,female
doveton ,3177.0,river gum,0-18,female
endeavour hills,3802.0,four oaks,29-38,female
lynbrook,3975.0,river gum,39-48,male
narre warren,3805.0,springfield,19-28,female
narre warren,3805.0,springfield,29-38,female
narre warren,3805.0,springfield,29-38,female
hampton park,3976.0,river gum,0-18,female
lyndhurst,3975.0,mayfield,29-38,female
lynbrook,3975.0,river gum,0-18,female
narre warren,3805.0,springfield,0-18,female
hampton park,3976.0,river gum,68+,other
hampton park,3976.0,river gum,0-18,female
cranbourne ,3977.0,balla balla,0-18,Prefer not to say
hampton park,3976.0,river gum,0-18,male
clyde,3978.0,balla balla,29-38,male
berwick,3806.0,edrington,29-38,male
cranbourne east,3977.0,mayfield,39-48,female
cranbourne east,3977.0,mayfield,0-18,male
cranbourne east,3977.0,mayfield,0-18,male
cranbourne ,3977.0,balla balla,0-18,male
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,0-18,female
berwick,3806.0,edrington,39-48,male
berwick,3806.0,edrington,19-28,female
cranbourne ,3977.0,balla balla,68+,female
tooradin,3980.0,balla balla ,0-18,female
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,0-18,female
cranbourne south ,3977.0,balla balla,0-18,Unknown
narre warren,3805.0,springfield,29-38,male
narre warren,3805.0,springfield,39-48,male
narre warren south,3804.0,springfield,68+,male
narre warren,3805.0,springfield,39-48,male
narre warren south,3804.0,springfield,29-38,male
hampton park,3976.0,river gum,39-48,male
berwick,3806.0,edrington,39-48,male
cranbourne ,3977.0,balla balla,59-68,female
berwick,3806.0,edrington,59-68,Male/Female
narre warren,3805.0,springfield,68+,Male
berwick,3806.0,edrington,29-38,female
cranbourne ,3977.0,balla balla,0-18,male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,19-28,Unknown
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,19-28,female
cranbourne ,3977.0,balla balla,0-18,male
cranbourne ,3977.0,balla balla,0-18,female
narre warren south,3804.0,springfield,0-18,female
endeavour hills,3802.0,four oaks,59-68,female
endeavour hills,3802.0,four oaks,68+,female
doveton ,3177.0,river gum,0-18,Male
narre warren,3805.0,springfield,0-18,female
endeavour hills,3802.0,four oaks,0-18,female
endeavour hills,3802.0,four oaks,0-18,female
doveton ,3177.0,river gum,59-68,female
narre warren south,3804.0,springfield,59-68,female
cranbourne west,3977.0,mayfield,39-48,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,29-38,male
clyde,3978.0,balla balla,29-38,female
cranbourne ,3977.0,balla balla,39-48,female
cranbourne ,3977.0,balla balla,29-38,male
cranbourne east,3977.0,mayfield,19-28,male
cranbourne west,3977.0,mayfield,29-38,Male
cranbourne west,3977.0,mayfield,29-38,male
cranbourne east,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,29-38,female
cranbourne east,3977.0,mayfield,39-48,female
cranbourne east,3977.0,mayfield,29-38,female
botanic ridge,3977.0,balla balla,29-38,female
cranbourne ,3977.0,balla balla,0-18,female
clyde,3978.0,balla balla,29-38,male
blind bight,3980.0,balla balla,39-48,female
cranbourne east,3977.0,mayfield,39-48,female
cranbourne ,3977.0,balla balla,39-48,female
cranbourne west,3977.0,mayfield,19-28,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,29-38,female
berwick,3806.0,edrington,19-28,m
cranbourne ,3977.0,balla balla,0-18,m
lynbrook,3975.0,river gum,39-48,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,19-28,female
narre warren,3805.0,springfield,39-48,female
berwick,3806.0,edrington,19-28,female
endeavour hills,3802.0,four oaks,68+,female
hallam,3803.0,river gum,39-48,female
narre warren south,3804.0,springfield,39-48,female
narre warren,3805.0,springfield,49-58,male
berwick,3806.0,edrington,0-18,male
hallam,3803.0,river gum,29-38,male
beaconsfield,3807.0,edrington,19-28,male
beaconsfield,3807.0,edrington,19-28,female
berwick,3806.0,edrington,29-38,female
beaconsfield,3807.0,edrington,39-48,female
cranbourne ,3977.0,balla balla,39-48,female
hampton park,3976.0,river gum,19-28,female
narre warren south,3804.0,springfield,0-18,male
narre warren,3805.0,springfield,29-38,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,29-38,male
hampton park,3976.0,river gum,19-28,male
narre warren,3805.0,springfield,59-68,female
narre warren,3805.0,springfield,59-68,male
lyndhurst,3975.0,mayfield,29-38,female
narre warren south,3804.0,springfield,39-48,female
narre warren,3805.0,springfield,39-48,female
narre warren,3805.0,springfield,29-38,female
lynbrook,3975.0,river gum,0-18,female
narre warren,3805.0,springfield,29-38,female
narre warren,3805.0,springfield,39-48,female
hampton park,3976.0,river gum,0-18,female
berwick,3806.0,edrington,39-48,male
narre warren south,3804.0,springfield,19-28,female
hampton park,3976.0,river gum,29-38,female
hampton park,3976.0,river gum,0-18,male
berwick,3806.0,edrington,49-58,female
hampton park,3976.0,river gum,29-38,female
lynbrook,3975.0,river gum,19-28,female
lynbrook,3975.0,river gum,19-28,male
cranbourne west,3977.0,mayfield,0-18,female
cranbourne west,3977.0,mayfield,0-18,female
narre warren,3805.0,springfield,39-48,male
narre warren south,3804.0,springfield,39-48,female
cranbourne ,3977.0,balla balla,49-58,female
cranbourne east,3977.0,mayfield,68+,female
cranbourne ,3977.0,balla balla,68+,female
hampton park,3976.0,river gum,29-38,female
cranbourne ,3977.0,balla balla,59-68,female
cranbourne ,3977.0,balla balla,19-28,female
botanic ridge,3977.0,balla balla,59-68,male
narre warren,3805.0,springfield,59-68,male
cranbourne ,3977.0,balla balla,59-68,female
cranbourne ,3977.0,balla balla,68+,female
cranbourne ,3977.0,balla balla,68+,male
cranbourne east,3977.0,mayfield,59-68,female
cranbourne south ,3977.0,balla balla,68+,male
narre warren,3805.0,springfield,49-58,female
narre warren,3805.0,springfield,49-58,male
berwick,3806.0,edrington,19-28,male
narre warren south,3804.0,springfield,49-58,female
lysterfield south,3156.0,four oaks,49-58,female
berwick,3806.0,edrington,29-38,male
hallam,3803.0,river gum,49-58,female
berwick,3806.0,edrington,29-38,male
narre warren,3805.0,springfield,39-48,female
endeavour hills,3802.0,four oaks,59-68,female
narre warren north,3804.0,four oaks,49-58,male
narre warren north,3804.0,four oaks,0-18,male
endeavour hills,3802.0,four oaks,68+,male
endeavour hills,3802.0,four oaks,59-68,female
berwick,3806.0,edrington,59-68,female
endeavour hills,3802.0,four oaks,39-48,female
endeavour hills,3802.0,four oaks,49-58,female
hallam,3803.0,river gum,29-38,perfer not to say
narre warren,3805.0,springfield,0-18,female
berwick,3806.0,edrington,29-38,female
narre warren,3805.0,springfield,49-58,perfer not to say
tooradin,3980.0,balla balla ,29-38,male
tooradin,3980.0,balla balla ,39-48,female
warneet,3980.0,balla balla ,29-38,male
warneet,3980.0,balla balla ,59-68,male
cannons creek,3977.0,balla balla,68+,female
cannons creek,3977.0,balla balla,68+,female
blind bight,3980.0,balla balla,29-38,female
devon meadows ,3977.0,balla balla,29-38,female
tooradin,3980.0,balla balla ,29-38,female
warneet,3980.0,balla balla ,68+,male
tooradin,3980.0,balla balla ,39-48,female
blind bight,3980.0,balla balla,59-68,male
blind bight,3980.0,balla balla,29-38,female
tooradin,3980.0,balla balla ,39-48,female
blind bight,3980.0,balla balla,68+,female
blind bight,3980.0,balla balla,59-68,female
warneet,3980.0,balla balla ,39-48,female
blind bight,3980.0,balla balla,68+,female
blind bight,3980.0,balla balla,68+,female
blind bight,3980.0,balla balla,0-18,female
berwick,3806.0,edrington,19-28,female
narre warren south,3804.0,springfield,49-58,female
berwick,3806.0,edrington,39-48,female
narre warren,3805.0,springfield,49-58,female
cranbourne ,3977.0,balla balla,59-68,female
cranbourne east,3977.0,mayfield,59-68,female
cranbourne ,3977.0,balla balla,68+,female
cranbourne east,3977.0,mayfield,39-48,female
cranbourne ,3977.0,balla balla,39-48,female
cranbourne east,3977.0,mayfield,29-38,male
doveton ,3177.0,river gum,59-68,female
berwick,3806.0,edrington,49-58,male
doveton ,3177.0,river gum,39-48,male
berwick,3806.0,edrington,49-58,female
lynbrook,3975.0,river gum,49-58,female
doveton ,3177.0,river gum,59-68,female
doveton ,3177.0,river gum,59-68,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,49-58,female
berwick,3806.0,edrington,49-58,female
berwick,3806.0,edrington,49-58,female
hallam,3803.0,river gum,68+,female
berwick,3806.0,edrington,29-38,female
narre warren south,3804.0,springfield,68+,male
doveton ,3177.0,river gum,68+,female
hallam,3803.0,river gum,59-68,female
hallam,3803.0,river gum,68+,female
berwick,3806.0,edrington,68+ ,female
hallam,3803.0,river gum,59-68,female
hallam,3803.0,river gum,68+,female
hallam,3803.0,river gum,68+,female
hallam,3803.0,river gum,39-48,female
hallam,3803.0,river gum,68+,female
hallam,3803.0,river gum,59-68,perfer not to say
narre warren,3805.0,springfield,29-38,male
officer,3809.0,visitor,29-38,female
hampton park,3976.0,river gum,39-48,male
hampton park,3976.0,river gum,59-68,female
hampton park,3976.0,river gum,29-38,male
berwick,3806.0,edrington,29-38,female
lynbrook,3975.0,river gum,68+,female
lynbrook,3975.0,river gum,49-58,male
cranbourne east,3977.0,mayfield,68+,female
cranbourne east,3977.0,mayfield,68+,female
lynbrook,3975.0,river gum,68+,male
cranbourne south ,3977.0,balla balla,68+,male
cranbourne east,3977.0,mayfield,68+,male
berwick,3806.0,edrington,68+,male
cranbourne east,3977.0,mayfield,68+,female
lynbrook,3975.0,river gum,49-58,female
cranbourne east,3977.0,mayfield,68+,female
cranbourne east,3977.0,mayfield,59-68,male
berwick,3806.0,edrington,68+,male
cranbourne ,3977.0,balla balla,19-28,female
narre warren south,3804.0,springfield,39-48,female
lyndhurst,3975.0,mayfield,29-38,female
narre warren south,3804.0,springfield,29-38,male
narre warren south,3804.0,springfield,29-38,female
narre warren south,3804.0,springfield,29-38,female
narre warren,3805.0,springfield,29-38,female
narre warren,3805.0,springfield,59-68,female
hampton park,3976.0,river gum,59-68,female
hampton park,3976.0,river gum,59-68,female
narre warren south,3804.0,springfield,68+,female
narre warren,3805.0,springfield,59-68,female
narre warren,3805.0,springfield,68+,female
narre warren,3805.0,springfield,68+,female
narre warren south,3804.0,springfield,29-38,female
narre warren south,3804.0,springfield,29-38,female
cranbourne ,3977.0,balla balla,29-38,female
narre warren,3805.0,springfield,39-48,female
berwick,3806.0,edrington,19-28,female
cranbourne ,3977.0,balla balla,59-68,female
narre warren south,3804.0,springfield,29-38,male
berwick,3806.0,edrington,39-48,male
narre warren south,3804.0,springfield,29-38,female
cranbourne south ,3977.0,balla balla,59-68,female
narre warren south,3804.0,springfield,29-38,female
narre warren south,3804.0,springfield,19-28,female
narre warren,3805.0,springfield,39-48,female
cranbourne ,3977.0,balla balla,19-28,male
cranbourne ,3977.0,balla balla,29-38,female
cranbourne ,3977.0,balla balla,49-58,female
cranbourne ,3977.0,balla balla,59-68,male
berwick,3806.0,edrington,49-58,female
cranbourne ,3977.0,balla balla,0-18,female
cranbourne ,3977.0,balla balla,0-18,perfer not to say
narre warren south,3804.0,springfield,0-18,male
cranbourne ,3977.0,balla balla,0-18,male
berwick,3806.0,edrington,29-38,female
narre warren,3805.0,springfield,29-38,male
narre warren south,3804.0,springfield,49-58,female
cranbourne east,3977.0,mayfield,29-38,female
cranbourne ,3977.0,balla balla,0-18,male
cranbourne ,3977.0,balla balla,19-28,female
doveton ,3177.0,river gum,19-28,female
cranbourne ,3977.0,balla balla,29-38,female
narre warren,3805.0,springfield,49-58,female
endeavour hills,3802.0,four oaks,68+,female
hampton park,3976.0,river gum,39-48,female
doveton ,3177.0,river gum,29-38,female
junction village,3977.0,balla balla,29-38,female
berwick,3806.0,edrington,39-48,female
berwick,3806.0,edrington,29-38,female
narre warren south,3804.0,springfield,29-38,female
berwick,3806.0,edrington,49-58,male
narre warren,3805.0,springfield,0-18,female
berwick,3806.0,edrington,29-38,Male
berwick,3806.0,edrington,19-28,female
berwick,3806.0,edrington,19-28,female
berwick,3806.0,edrington,59-68,female
berwick,3806.0,edrington,59-68,Male
berwick,3806.0,edrington,19-28,female
hampton park,3976.0,river gum,39-48,female
endeavour hills,3802.0,four oaks,49-58,female
berwick,3806.0,edrington,29-38,female
narre warren,3805.0,springfield,39-48,female
narre warren north,3804.0,four oaks,59-68,female
narre warren north,3804.0,four oaks,19-28,Male
cranbourne ,3977.0,balla balla,39-48,female
doveton ,3177.0,river gum,49-58,female
Narre Warren South,3804.0,springfield,39-48,female
Narre Warren South,3804.0,springfield,49-58,male
Cranbourne West,3977.0,mayfield,59-68,female
Cranbourne East,3977.0,mayfield,0-18,female
Dandenong,3175.0,visitor,19-28,female
Hampton Park,3976.0,river gum,0-18,female
Narre Warren,3805.0,springfield,19-28,female
Narre Warren,3805.0,springfield,19-28,female
Narre Warren South,3804.0,springfield,19-28,female
Endeavour Hills,3802.0,four oaks,19-28,female
Cranbourne,3977.0,balla balla,0-18,female
Doveton,3177.0,river gum,0-18,female
Narre Warren South,3804.0,springfield,19-28,female
Narre Warren South,3804.0,springfield,0-18,female
Hampton Park,3976.0,river gum,0-18,female
Narre Warren,3805.0,springfield,0-18,female
Drouin,3818.0,visitor,29-38,female
Doveton,3177.0,river gum,29-38,male
Doveton,3177.0,river gum,29-38,male
Hampton Park,3976.0,river gum,39-48,female
Hampton Park,3976.0,river gum,0-18,male
Narre Warren,3805.0,springfield,0-18,Unknown
Cranbourne,3977.0,balla balla,19-28,female
Camberwell,3124.0,visitor,0-18,female
Cranbourne,3124.0,balla balla,0-18,female
Hampton Park,3976.0,river gum,0-18,male
Cranbourne East,3977.0,mayfield,39-48,female
Cranbourne East,3977.0,mayfield,29-38,female
Cranbourne  ,3977.0,balla balla,49-58,female
Cranbourne,3977.0,balla balla,0-18,female
Hampton Park,3976.0,river gum,49-58,female
Botanic Ridge,3977.0,balla balla,29-38,female
Cranbourne east,3977.0,mayfield,0-18,Male
cranbourne south ,3977.0,balla balla,49-58,female
Cranbourne,3977.0,balla balla,68+,Male
Cranbourne East,3977.0,mayfield,29-38,Unknown
Cranbourne,3977.0,balla balla,29-38,female
Cranbourne,3977.0,balla balla,19-28,female
Cranbourne East,3977.0,mayfield,49-58,female
Cranbourne,3977.0,balla balla,29-38,female
Cranbourne,3977.0,balla balla,19-28,Male
Clyde North,3978.0,edrington,0-18,female
Clyde  ,3978.0,balla balla,39-48,Male
Hampton Park,3976.0,river gum,19-28,Prefer not to say
Clyde North,3978.0,edrington,19-28,female
Clyde North,3978.0,edrington,0-18,female
Hampton Park,3976.0,river gum,19-28,female
